company_name,website,hq_address,phone,source_url,confidence,notes
prAna,https://www.prana.com,"3209 Lionshead Avenue, Carlsbad, California 92010, United States",(866) 915-6457,https://www.prana.com/accessibility.html,High,"prAna (stylized as prAna) is an American outdoor/activewear apparel brand founded in 1992 in Carlsbad, CA, and a subsidiary of Columbia Sportswear since 2014. The phone number (866) 915-6457 is published directly on prana.com as their customer contact line. The HQ address (3209 Lionshead Avenue, Carlsbad, CA 92010) is corroborated by multiple third-party sources (LeadIQ, Comparably, ZoomInfo, Craft.co) and consistent with the official headquarters page at prana.com/about-us/who-we-are/headquarters.html. No ambiguity — this is clearly the outdoor/apparel prAna."
Kuhl,https://www.kuhl.com,"1635 S. 5070 W., Suite C, Salt Lake City, UT 84104, USA",1-888-218-3181,https://www.kuhl.com/content/corporate/,High,"Website and HQ address verified directly from kuhl.com/content/corporate/ (official KÜHL Corporate Sales page). Phone number (1-888-218-3181) is widely cited as the KÜHL customer service line but does not appear in the crawled text of kuhl.com/contact/; it is sourced from pissedconsumer.com. Minor ambiguity: 'KUHL' is also a defunct AM radio station call sign (KUHL 1440, Santa Maria, CA) and 'Kuhl Corporation' is an unrelated poultry equipment company — the outdoor/apparel brand KÜHL Clothing is the correct match for this context."
Fjallraven,https://www.fjallraven.com,"Fjällräven Sverige AB, Box 209, SE-891 25 Örnsköldsvik, Sweden",+46 660 26 62 00,https://www.fjallraven.com/us/en-us/customer-service/contact/international-contacts/,High,"Fjällräven is a Swedish outdoor apparel and equipment brand founded in 1960, headquartered in Örnsköldsvik, Sweden. It operates as a subsidiary of Fenix Outdoor International AG. The HQ address and phone number are taken directly from Fjällräven's own official international contacts page. The US operations are based in Louisville, CO, with a separate US customer service number (303-996-3737) listed on fjallraven.com's accessibility page."
Osprey Packs,https://www.osprey.com,"800 N Park St., Cortez, CO 81321, USA",(866) 284-7830,https://www.osprey.com/customer-support/terms-of-use,High,"Phone number and HQ address verified directly from Osprey's official Terms of Use page on osprey.com. Osprey Packs, Inc. is a subsidiary of Helen of Troy Limited (acquired 2021). No name ambiguity in the outdoor/apparel context."
Deuter,https://www.deuter.com,"Deuter Sport GmbH, Gersthofen, Germany (near Augsburg)",+1 / 303 652 3102,https://www.deuter.com/int-en/deuter | https://www.deuter.com/us-en/distributors-international,High,"The name 'Deuter' is ambiguous — it also refers to CG Deuter, a German new-age musician. The outdoor/apparel context clearly matches Deuter Sport GmbH, the German backpack and outdoor gear brand founded in 1898. Global HQ is in Gersthofen, Germany (confirmed on deuter.com/int-en). The phone number listed (+1/303 652 3102) is for Deuter USA Inc. (2511 55th St, Suite 100, Boulder, CO 80301), as published on deuter.com's official distributor page. No global HQ phone number for the German parent company was found on the official site."
Gregory Mountain Products,https://www.gregorypacks.com,"4640 South Holladay Village Plaza, Suite 201, Salt Lake City, UT 84117, United States",1-855-475-1625,https://www.gregory.com/contact-us.html,High,"The official website is gregorypacks.com, which resolves through gregory.com. The phone number 1-855-475-1625 is published directly on the official Gregory contact and FAQ pages. The HQ address (4640 South Holladay Village Plaza, Suite 201, Salt Lake City, UT 84117) is consistently corroborated across LinkedIn, ZoomInfo, Dun & Bradstreet, and PissedConsumer, all citing the same address. An older address (2088 East 3900 South, Salt Lake City, UT) appears in some legacy sources but is superseded by the current Suite 201 address. Gregory Mountain Products is a division of Samsonite LLC."
Big Agnes,https://www.bigagnes.com,"840 Yampa St, Steamboat Springs, CO 80487, USA",877.554.8975,https://www.bigagnes.com/pages/privacy-policy,High,"Website and phone number confirmed directly from bigagnes.com/pages/privacy-policy. Physical HQ address (840 Yampa St) is consistently reported across multiple third-party directories (LeadIQ, Adapt.io, ContactOut, Craft.co); the official site lists only a PO Box (PO Box 773072, Steamboat Springs, CO 80477) for mailing. No ambiguity — Big Agnes is clearly the outdoor gear brand based in Steamboat Springs, Colorado."
NEMO Equipment,https://www.nemoequipment.com,"NEMO Equipment, 383 Central Avenue, Suite 275, Dover, NH 03820, USA",,https://www.nemoequipment.com/pages/contact,High,"Website and headquarters address confirmed directly from NEMO Equipment's official contact page. No public phone number is listed on the official website; the company directs customers to a live-chat widget instead. Phone numbers appearing in third-party directories (Yelp, Crunchbase, etc.) could not be verified against the official source and are therefore excluded per data-quality rules."
Therm-a-Rest,https://www.thermarest.com,"4000 1st Ave S, Seattle, WA 98134, USA",1-800-531-9531,https://www.facebook.com/thermarest/,High,"Therm-a-Rest is a subsidiary of Cascade Designs, Inc., also headquartered in Seattle, WA. The phone number (1-800-531-9531) is the published customer service/warranty line found on Cascade Designs' official warranty page and corroborated by Crunchbase. The street address (4000 1st Ave S) comes from the official Therm-a-Rest Facebook page managed by Cascade Designs, Inc."
MSR,https://www.msrgear.com,"4000 1st Avenue South, Seattle, Washington 98134, US",(800) 531-9531,https://www.linkedin.com/company/msr---mountain-safety-research,High,"MSR stands for Mountain Safety Research, a sporting goods/outdoor gear company founded in 1969 and headquartered in Seattle, WA. It is a subsidiary of Cascade Designs. The name 'MSR' is shared with other companies (e.g., MSR Group, an electronics firm in Germany), but Mountain Safety Research is the clear match in the outdoor/apparel industry context. The HQ address (4000 1st Ave S, Seattle, WA 98134) is consistently confirmed across LinkedIn, ZoomInfo, and Datanyze. The phone number (800) 531-9531 is reported by multiple aggregators (ZoomInfo, PissedConsumer) as sourced from the official company website; msrgear.com itself does not display a phone number on publicly crawlable pages, so confidence on the phone is Medium-High rather than definitive."
Salomon,https://www.salomon.com,"14 chemin des Croiselets, ZA des Croiselets, 74370 Épagny Metz-Tessy, France (Postal: 74996 Annecy Cedex 9, France)",,https://www.salomon.com/en-us/b/privacy,High,"The name 'Salomon' is shared by several unrelated companies (e.g., financial services firms). This entry refers to Salomon SAS, the French outdoor/sporting goods brand, consistent with the outdoor/apparel industry context. The official website and HQ address are confirmed directly from salomon.com's own Privacy Policy and Copyright pages. No publicly listed corporate phone number was found on Salomon's official website; the number visible on salomon.com (+1-833-986-0382) is a US customer service accessibility line, not a corporate HQ phone number, so it has been omitted per the field's intent."
Merrell,https://www.merrell.com,"9341 Courtland Drive NE, Rockford, MI 49351, USA",(800) 288-3124,https://www.merrell.com/US/en/make-it-right-guarantee/,High,"Merrell is a subsidiary of Wolverine World Wide, headquartered at 9341 Courtland Drive NE, Rockford, MI 49351. The HQ address is confirmed via Wolverine World Wide's official contact page (wolverineworldwide.com/about-us/contact-us/), Wikipedia, and multiple third-party sources. The phone number (800) 288-3124 is published directly on merrell.com as the customer service line. No ambiguity — this is the outdoor/apparel footwear brand."
Keen,https://www.keenfootwear.com,"515 NW 13th Avenue, Portland, OR 97209, United States",1-866-676-5336,https://www.keenfootwear.com/blogs/keen-blog/safer-toes-safer-online-shopping,High,"All three fields were verified directly from KEEN's official website (keenfootwear.com). The HQ address (515 NW 13th Ave, Portland, OR 97209) and phone number (1-866-676-KEEN / 1-866-676-5336) are published on the official site. 'Keen' could refer to other companies, but in the outdoor/apparel context this unambiguously refers to KEEN, Inc., the Portland-based footwear brand."
Vasque,https://www.vasque.com,"325 Main Street, Red Wing, MN 55066, US",(800) 224-4453,https://www.redwingshoeco.com/blog-entries/vasque-here-and-now-60-years-to-reconnect-8xp8w,High,"Vasque is a brand owned by Red Wing Shoe Company, headquartered in Red Wing, MN. The official website vasque.com is confirmed via Red Wing Shoe Company's own blog (redwingshoeco.com). HQ address of 325 Main Street corroborated by LinkedIn and multiple business directories. Phone (800) 224-4453 corroborated by locally.com and knoji.com. Note: vasqueboots.com and vasquestore.com appear to be third-party sites, not the brand's official domain."
La Sportiva,https://www.lasportiva.com,"Via Ischia 2/A, Ziano di Fiemme, Trento, Italy 38030",+39 0462 571800,https://www.lasportiva.com/en/company,High,"La Sportiva S.p.A. is the Italian parent company headquartered in Ziano di Fiemme, Italy. The Italian headquarters phone (+39 0462 571800) is sourced from ZoomInfo and corroborated by multiple aggregators citing official sources. La Sportiva also operates a North American subsidiary (La Sportiva N.A., Inc.) at 3850 Frontier Ave., Suite 100, Boulder, CO 80301, with a publicly listed toll-free number of 1-800-442-7541, confirmed directly from help.lasportivausa.com. No ambiguity in company identity — this is the well-known Italian outdoor/climbing footwear brand."
Scarpa,https://www.scarpa.com,"Via Enrico Fermi 1, 31011 Asolo (TV), Italy",+39 0423 5284,https://scarpa.com/pages/contact-form-data-policy,High,"SCARPA (Calzaturificio S.C.A.R.P.A. S.p.A.) is an Italian outdoor/mountain footwear brand, clearly matching the outdoor/apparel industry context. No ambiguity with other companies of the same name. The phone number (+39 0423 5284) and HQ address (Via Enrico Fermi 1, Asolo) are sourced directly from scarpa.com's own data-policy pages. The company also operates a North American subsidiary (SCARPA North America, Inc.) at 3550 Frontier Ave Unit E, Boulder, CO 80301, USA, with a separate local number (303-998-2895), as listed on us.scarpa.com."
Hoka,https://www.hoka.com,"250 Coromar Drive, Goleta, CA 93117, United States",805.967.7611,https://hk.hoka.com/contact,High,"HOKA (formerly Hoka One One) is a brand under parent company Deckers Brands. The HQ address and phone number (805.967.7611) are shared with Deckers Brands Global Headquarters, as confirmed on an official HOKA domain (hk.hoka.com/contact). The official consumer-facing website is hoka.com. No ambiguity in the outdoor/apparel context."
Danner,https://www.danner.com,"17634 NE Airport Way, Portland, OR 97230",(877) 432-6637,https://support.danner.com/hc/en-us/articles/360010816074-What-is-Danner-s-mailing-address,High,
Oboz Footwear,https://www.obozfootwear.com,"212 S Wallace Ave, Ste 103, Bozeman, MT 59715, United States",(406) 522-0319,https://obozfootwear.com/pages/faq,High,
Smartwool,https://www.smartwool.com,"1551 Wewatta Street, Denver, Colorado 80202, United States",1-888-879-9665,https://www.smartwool.com/en-us/search/?cgid=root,Medium,"Phone number confirmed directly from smartwool.com. HQ address reflects the current Denver, CO location per multiple aggregators (ZoomInfo, LeadIQ, NeverBounce); Smartwool's official contact page (smartwool.com/en-us/contact-us/) does not publish a street address, so the Denver address cannot be fully verified from the official site alone. Smartwool was originally founded in Steamboat Springs, CO, which some older sources still list as HQ. Smartwool is a subsidiary of VF Corporation."
Darn Tough,https://www.darntough.com,"364 Whetstone Dr, Northfield, VT 05663, USA",877-327-6883,https://darntough.com/policies/terms-of-service,High,"Darn Tough is the flagship brand of Cabot Hosiery Mills, Inc. All three fields — website, HQ address, and phone number — were verified directly from the official darntough.com domain (terms-of-service and contact-us pages). The phone number 877-327-6883 (877-DARNTUF) is the publicly listed customer service line confirmed on multiple official site pages."
Icebreaker,https://www.icebreaker.com,"130-132 Ponsonby Road, Level 2, Auckland, New Zealand",(888) 530-0075,https://na.icebreaker.com/en-us/pages/terms-conditions,High,"Icebreaker is a New Zealand-founded merino wool outdoor/apparel brand, consistent with the outdoor/apparel industry context. Phone number (888) 530-0075 is the US customer service line published on the official icebreaker.com Terms & Conditions page. HQ address corroborated by multiple business-data sources (LeadIQ, CB Insights, Craft.co) and Wikipedia. Icebreaker has been a subsidiary of VF Corporation since 2018."
Rab,https://rab.equipment,"Wimsey Way, Somercotes, Alfreton, Derbyshire DE55 4LS, United Kingdom",,https://en.wikipedia.org/wiki/Rab_(company),High,"Rab is a British outdoor apparel and equipment brand (climbing/mountaineering), a subsidiary of Equip Outdoor Technologies. Official website confirmed at rab.equipment. HQ address (Wimsey Way, Somercotes, Alfreton, Derbyshire DE55 4LS, UK) is corroborated by Wikipedia and multiple aggregators but could not be independently verified directly on rab.equipment's own contact page. No public phone number was found on the official website; numbers appearing in third-party directories (e.g., PissedConsumer) were not confirmed via the official source and are therefore excluded per data integrity rules. No meaningful name ambiguity in the outdoor/apparel context."
Mountain Equipment,https://www.mountain-equipment.com,"3 Bailey Court, Green Street, Macclesfield, England, SK10 1JQ",+44 161 366 5020,https://find-and-update.company-information.service.gov.uk/company/00930231,Medium,"Ambiguity exists: 'Mountain Equipment' may refer to (1) Mountain Equipment Limited — a UK-based technical outdoor clothing and equipment manufacturer founded in 1961, website mountain-equipment.com, HQ address from UK Companies House (GOV.UK); or (2) Mountain Equipment Company (MEC) — a Canadian outdoor retailer, website mec.ca, HQ at 151 E 2nd Ave Unit 320, Vancouver, BC, Canada. The UK entity is selected as most consistent with the outdoor/apparel manufacturing industry context. The registered HQ address (Macclesfield) is from UK Companies House; operational HQ is referenced as the Manchester/Hyde area in third-party sources. Phone number +44 161 366 5020 is sourced from ZoomInfo and corroborated by PissedConsumer but could not be independently verified on the official website itself, hence Medium confidence."
Helly Hansen,https://www.hellyhansen.com,"Munkedamsveien 35, 5th–7th Floor, N-0250 Oslo, Norway",+47 21 05 02 57,https://brand.hhworkwear.com/about-us/our-offices/,High,"Global HQ address and phone confirmed from Helly Hansen's own official office directory page (brand.hhworkwear.com). The official consumer website is hellyhansen.com. Phone number (+47 21 05 02 57) is listed for the Oslo HQ on the official offices page. Note: Helly Hansen has a US subsidiary at 14218 Stewart Rd, Ste 100A, Sumner, WA 98390, but the true global HQ is Oslo, Norway. The brand has been a subsidiary of Kontoor Brands since early 2025."
Salewa,https://www.salewa.com,"Via Waltraud Gebert Deeg, 4, 39100 Bolzano (BZ), Italy",+39 0471 242900,https://www.salewa.com/imprint,High,"Global HQ address sourced directly from Salewa's official Legal Notice/Imprint page (salewa.com/imprint), which lists parent entity Ober Alp S.p.A. at that address. Phone number +39 0471 242900 is consistently listed across multiple third-party sources (Yelp, Südtirol B2B portal) for the Bolzano HQ location; Salewa's own site does not surface a global HQ phone on the imprint page, but this number is widely and consistently attributed to the headquarters. The US North America office (3600 Pearl St, Unit 2, Boulder, CO 80301) has a separate published phone: +1 (303) 444-0446, listed on salewa.com/en-us/contact-us. No ambiguity issue: there is one globally recognized Salewa in the outdoor/alpine industry."
Mammut,https://www.mammut.com,"Mammut Sports Group AG, Birren 5, CH-5703 Seon, Switzerland",+41 (0) 62 769 81 81,https://www.mammut.com/us/en/legal/legal-notice,High,"All three fields sourced directly from Mammut's official Legal Notice page. Mammut refers to Mammut Sports Group AG, the Swiss outdoor/apparel brand founded in 1862 — consistent with the outdoor/apparel industry context. A separate Swiss company 'mammut soft computing ag' shares a similar name but is unrelated."
Ortovox,https://www.ortovox.com,"Rotwandweg 5, 82024 Taufkirchen, Germany",+49 (0)89 666 74-0,https://www.ortovox.com/us-en/support/contact,High,"Global headquarters is ORTOVOX Sportartikel GmbH, Rotwandweg 5, 82024 Taufkirchen, Germany. The phone number +49 (0)89 666 74-0 is published on the official Ortovox contact page. North American operations (Schwan-STABILO Outdoor USA / Deuter USA distributing Ortovox) are located at 1200 S Fordham St., Suite C, Longmont, Colorado 80503, USA, with a US customer service number of (833) 678-6869, though this number was sourced from third-party aggregators, not the official website directly."
Klean Kanteen,https://www.kleankanteen.com,"3960 Morrow Lane, Chico, California 95928, United States",1-800-767-3173,https://www.kleankanteen.com/pages/contact-us,High,
Hydro Flask,https://www.hydroflask.com,"525 NW York Drive, Bend, Oregon 97703, United States",888-584-9376,https://www.hydroflask.com/contact-us,High,
Nalgene,https://www.nalgene.com,"Nalge Nunc International Corporation, Outdoor Products Division, 75 Panorama Creek Drive, Rochester, NY 14625, U.S.A.",1-844-NALGENE (1-844-625-4363),https://nalgene.com/contact/,High,"All fields sourced directly from Nalgene's official contact page (nalgene.com/contact/). Nalgene (Nalgene Outdoor) is a division of Nalge Nunc International Corporation, itself a subsidiary of Thermo Fisher Scientific. No ambiguity in the outdoor/apparel context — Nalgene is the dominant brand for outdoor water bottles."
CamelBak,https://www.camelbak.com,"2000 S. McDowell Blvd, Suite 200, Petaluma, CA 94954, USA",1-800-455-8203,https://www.camelbak.com/faq,Medium,"Phone number 1-800-455-8203 is confirmed on camelbak.com/faq as the primary customer service line. A second toll-free number, 1-800-767-8725, is listed on international.camelbak.com for retail/B2B inquiries. The HQ address (2000 S. McDowell Blvd, Suite 200, Petaluma, CA 94954) is widely corroborated; however, Wikipedia notes that in February 2024 CamelBak announced the closure of its Petaluma headquarters. A confirmed replacement HQ address has not been published on the official website, so the Petaluma address is retained with Medium confidence. The official camelbak.com/contact page uses a web form and does not surface a US phone number in crawlable text."
Yeti,https://www.yeti.com,"7601 Southwest Parkway, Austin, TX 78735, United States",(512) 394-9384,https://www.yeti.com/unsolicited-idea-submission-policy.html,High,"Minor ambiguity: 'Yeti' also refers to Yeti Cycles (Golden, CO) and Yeti Airlines (Nepal), but YETI Holdings, Inc. is the clear match in the outdoor/apparel context. Website (yeti.com) and HQ address corroborated by multiple independent sources. Phone number (512) 394-9384 sourced directly from yeti.com; a toll-free customer service number (1-833-225-9384) and a corporate sales line (1-512-402-5895) also appear on official YETI pages."
Stanley,https://www.stanley1913.com,"2401 Elliott Avenue, Floor 4, Seattle, WA 98121, United States",1-800-251-4535,https://support.stanley1913.com/en/support/solutions/articles/69000829272-how-do-i-reach-stanley-customer-service-,High,"The name 'Stanley' is shared by multiple companies (e.g., Stanley Black & Decker, Stanley Furniture). In the outdoor/apparel/drinkware context, Stanley 1913 (stanley1913.com) — maker of iconic vacuum-insulated bottles and tumblers — is the most relevant match. Website confirmed via Wikidata and ZoomInfo. HQ address confirmed across multiple sources including Stanley's own support portal. Phone number 1-800-251-4535 confirmed directly from support.stanley1913.com."
Leatherman,https://www.leatherman.com,"12106 NE Ainsworth Circle, Portland, Oregon 97220, USA",1-800-847-8665,https://ca.leatherman.com/pages/customerservice-contactus,High,"All three fields confirmed directly from Leatherman's official website and its subdomains. The phone number 1-800-847-8665 is the publicly listed customer service number appearing across multiple leatherman.com pages (including leatherman.com/pages/customerservice-shipping-returns and leatherman.com/customerservice-faq.html). The HQ address (12106 NE Ainsworth Circle, Portland, Oregon 97220) is confirmed via the official corporate gifting subdomain (corporategifting.leatherman.com). No ambiguity — there is only one prominent company trading as 'Leatherman' in the tool/outdoor industry."
Petzl,https://www.petzl.com,"ZI Crolles, Cidex 105 A, 38920 Crolles, Grenoble, France",+33 (0)4 76 92 09 00,https://www.petzl.com/US/en/legal,High,"All three fields (website, HQ address, and phone number) are sourced directly from Petzl's official legal/disclaimer page. The HQ address and phone belong to Petzl Distribution (operator of petzl.com) and its parent BIG BANG, both registered at the same Crolles, France address. Petzl also operates a North American subsidiary, Petzl America, Inc., located at 2929 Decker Lake Drive, West Valley City, UT — but the global HQ remains in Crolles, France."
Garmin,https://www.garmin.com,"1200 East 151st Street, Olathe, Kansas 66062, United States",913-397-8200,https://www8.garmin.com/manuals/webhelp/gpsmap84xx-86xx/EN-US/GUID-D511E00A-C6CE-4436-8D58-86284D463F11.html,High,"Garmin Ltd is incorporated in Switzerland (global holding company), but its principal operational headquarters and US base is in Olathe, Kansas. The phone number 913-397-8200 is confirmed directly on Garmin's official subdomain (www8.garmin.com) in multiple product manuals. The website garmin.com is the official consumer-facing site."
Suunto,https://www.suunto.com,"Tammiston kauppatie 7 A, FI-01510 Vantaa, Finland",+358 9 875 870,https://www.suunto.com/About-Suunto/Company-info/Suunto-Head-Office/,High,
Sonder,https://alpkit.com/collections/sonder-merch,,,https://alpkit.com/pages/about,Low,"Significant ambiguity: 'Sonder' in the outdoor/cycling context is a sub-brand of Alpkit (UK), not an independent company. It does not have its own standalone website or publicly listed HQ address separate from Alpkit's. Alpkit's HQ is referenced as being in Nottingham / on the edge of the Peak District, UK, but a verified street address for 'Sonder' specifically could not be confirmed from official sources. Alpkit itself entered administration in early 2026 and underwent restructuring. A second major 'Sonder' — Sonder Holdings Inc. (hospitality/short-term rentals, sonder.com) — is headquartered at 101 15th St, San Francisco, CA 94103, but is defunct as of November 10, 2025 (bankruptcy). If the intended company is Sonder Holdings Inc. (hospitality), website is https://www.sonder.com, HQ is 101 15th St, San Francisco, CA 94103, phone is 1-617-300-0956, source https://comparably.com/companies/sonder/headquarters — but note the company is no longer operating."
Backcountry,https://www.backcountry.com,"1678 West Redstone Center Drive, Suite 210, Park City, UT 84098, USA",(800) 409-4502,https://www.backcountry.com,High,"Backcountry (backcountry.com) is the dominant match in the outdoor/apparel industry context — a major online retailer of outdoor gear and apparel founded in 1996 and headquartered in Park City, Utah. The HQ address (1678 West Redstone Center Drive, Suite 210, Park City, UT 84098) is corroborated by multiple third-party sources including the BBB, Comparably, CorporateOfficeHQ, and Elliott Report. The phone number (800) 409-4502 is the publicly listed customer service/contact number confirmed across multiple directories. A second number, (801) 746-7580, appears as a corporate line in some sources. The company also has operational facilities in West Valley City, UT; Salt Lake City, UT; Christiansburg, VA; and Portland, OR."
